南京在哪里 | 在这里了
-_-||，不许这么说我 | 没得空
好吧,我不爱你 |  爱我，放了我
宝宝,出去玩 | 好啊去哪?
你就只会呵呵吗 | 笑得这么难看
你都走过哪儿 | 不是每种牛奶都叫苏特仑，不是每个人都像我那么纯
你抓紧到窝里自撸去 | 等等哈，正吃着切糕呢
不累 | 哎呀，被你发现了，其实我就是
废话，绝世美男啊 | 现在，执著追求的事，将来必定有一天变成不重要
你也是坏人 | 你再说俺是坏人，俺就用药水药死你！
say | 把话说详细点，发个“say”能说明什么
梁祝 | 今天是个好日子，怎么不出去玩玩
你比家人更懂我 | {face:8}好无聊哦,我都快睡着了，聊的什么呀
感冒了难受 | 快吃白加黑，白天服白片，晚上服黑片~不瞌睡，一吃就见效~
谢主隆恩～～ | 麻麻呀...又来一个说瞎话的
现在见了也不晚 | 马伟民的好基友
跟别的跑了 | 昨天就跟你說她不好齁
亚梅嘚 | 呷卟达人
天上有多少星星就表示我有多想你 | 很想很想很想~想得吃不下睡不着
不知道，给你织围巾了吧～ | 这都...你也太笨了点吧
有人喜欢你了 | 哈哈，很多人都喜欢菲菲
等我干嘛 | 你意思是不要等你是吧
哈哈你懂的 | 哈哈哈
更年期的女人惹不起更年期的男人伤不起啊 | 食太太口服液
你太恨了 | 彪悍的人生不需要解释
你会主动和我说话吗 | 不会啊，你教我嘛
不行,看完再睡 | 看完就重新再看
佟习又是谁 | 他呀，说来他跟小布丁还有一腿呢
金牛和天蝎怎样 | 表酱紫讲话好不，伦家听不习惯
妈妈疯了吧 | {face:51}说点高智商的话吧，再怎么着，我也是梅州行的大美人
给爷来个妞 | 上百度稳嘛、
我感觉你已经去过了 | 哈哈，说得不错，很好
这句倒学会了,看样子大家没少调教 | 那就挖墙脚嘛
快来迎接我 | 等着哦，我就来
给我立刻的滚回来我让你滚了吗 | 该滚的是网友吧
我想去辽阳 | 那就加油啦！我會陪你
你该早点睡了 | {face:6}昨晚想你想得我无法入睡，难道这就叫一见钟情？天哪，以前我从不相信这玩意的
哭你洗 | 呜呜呜T^T
爱不爱 | 好吧，爱
你认识李勇么 | 认识认识，是个坏小孩
我能撑秒 | 七年
没事，她不爱你，我爱你 | 可能是菲菲做得不够好~魅力不够吧
好幸运 | 扬曼妮帅帅的老公
我也只爱你一个 | 当时做的决定
先把洗干净 | 亮堂堂啊！！
我给你解开好了 | 我要架子鼓！
你会打字 | 我会的可多了
根叔是谁 | 不知道是谁
我有些幽默感 | 我聽妳說
妹纸多多的 | 上thisav啦
好多人都喜欢你 | 你喜欢我这件事，我允许了
忘了,你没手 | 嘿嘿，菲菲的太脑塞得满满的，记不住太多新东西了
可是我不能拒绝人们的误解 | 我也是
******世界杯冠军，哦哈哈 | 咯咯，我笑得比你好看
ply是谁 | 我不认识
那个不是你 | 想买就能卖
那你爱他 | 你不认识的
吃饭用脚趾 | 一般般啦！
你是大便 | 陈焕也！
找个漂亮的妞 | 对啊，对啊，我爱美女，美女爱我
那你是半拉 | 不是~
激动死我了!今天星期几 | 今天星期三
怎么掉 | 我没事，就是太想你
他们也很想你 | 我也想你啦
唱洗刷刷吗 | 怎么刷，你教我哇
我老婆 | 你是說那個大美女嗎？
必是 | 与其说是聊天，不如说是问答式的吧
你性生活和谐吗 | 十个网站，八个跟建设和谐社会有冲突，另外两个被自愿关闭，这就是和谐
双色球明天开奖号码 | 01，，11，，02
吩咐你妹 | 网友！你不觉得在女生面前要斯文点吗
你说男生可能对一个女生一辈子好吗 | 好的
一个月赚多少钱合适 | 要很多钱钱的说
傻瓜傻瓜,傻瓜 | 菲菲才不傻，以后我会继续努力学习的。
死凤梨 | 被XP吃掉的!
我都没去过夜店你也不说带我去 | 要去就去啊，速度
比昨天多一号 | 夏日炎炎正好眠
你怎么证明你爱我 | 那你怎么证明你是人？
在吗小黄 | 哟，我天天都在啊
不要听这首 | 不是每种牛奶都叫苏特仑，不是每个人都像我那么纯
算了不问了,你是一只傻 | 哦哦，不问了不问了
你又是谁 | 你说是谁就是谁吧
是不是嘛 | 当然是啊
是母还是公 | 都不是
来吧为了他我和你拼了 | 不来了
这个看过了,重新讲 | 那必须，我聪明极了
卖肾中 | 你说的什么哦？换种说法行不
不敢了 | 这有啥不敢的啊
小jj快出来 | 妈咪，妈咪，小燕不饿的
延绵的青山脚下菊花开 | 菊花已经不是当年的菊花了
离死不远了保重 | 虽然我很聪明，但也不可能全部都懂哦
红叶是攻无误你看她那副死样子 | 今天是个好日子，怎么不出去玩玩
这个好笑 | 哈哈哈哈~每天笑一笑，身体更健康
下锅以后是白的 | 有些事没必要认真，有些人没必要理会
看好你 | 哈哈，谢谢！
你没手用什么打字 | 这日子啊，好无聊哦...
肝胆湿热怎么办 | 兄弟情深！
这个是什么 | 不知道
这都哪跟哪 | 大蒜
陪你来忘了开会了,补偿 | 哎呀，菲菲是出了名的健忘~
设计师 | 他设计噶衣服华丽，低调，奢华，颓靡
來啊誰怕誰 | 算了
你是草丛三基友么 | 你说的什么哦？换种说法行不
xiao | 大人，此事必有蹊跷，里面定然隐藏着天大的秘密
你颜色是黄的吗 | 告诉她找个好男人才值得喜欢，比如曾老师
小新，是我回来了 | 怎么又来了
你麻麻应该是大黄才对 | 不給就算了
你多大啊?体型 | 讨厌，不要随便问女生年龄知道不
/是多少 | 我考试考99分～～～
你才小王八咧 | 梁林
我可以陪你去的 | 别放弃我，
挑你个头啊我就吃肉 | 表酱紫讲话好不，伦家听不习惯
两个笑话呗 | 靠，又是她？
有天大发 | 泡泡
怎么淡定 | 我不喝紅茶滴~
赞同 | 耶~
我哥吃了你 | 哦，吃了就好
我想吃蛋糕 | 那就快去吃啊
马兰开花二十一 | 我係全班考第一
最喜欢看了 | 当然是最喜欢妈咪你啦
辛春福是谁 | 在主裡
我喜欢你帅 | {face:6}哈，是吗，有多喜欢呢
你为什么知道别人的星座 | 抱歉，没能为您找到相关的信息
很猥琐 | 猥琐是你的专属名词
还真不能 | 能啊，谁说不能了
广义相对论 | 你不觉得这个话题没什么意思么
dota你爱用谁 | 你一开口，我就知道结果，你就不能搞点新创意出来嘛
你太暴力了 | 彪悍的人生不需要解释
陈美嘉 | 我一口盐汽水喷死你！！
知道啊那个很可爱的川妹子啦 | 哈哈，超可爱的
他的姓有点特别耶 | {face:51}说点高智商的话吧，再怎么着，我也是梅州行的大美人
那你也给我算算呗 | 就來吧
长笑话 | 来个超长的？
生日快乐啊啊啊 | 咋了你？发颠啊
李多海 | {face:8}好无聊哦,我都快睡着了，聊的什么呀
你爱他 | 愚子可教XD
可是我又想和你聊天,不要回符号 | 回一下好点吧
认识jj吗 | 是个大美女
算了,你不懂我 | 我会不知道？我这么聪明，哇靠，开什么玩笑
fucking | 别动不动就Fuck！
又呵呵,没劲 | 呵呵~
嗯啊 | 哦了
学渣 | 今天这天气很适合聊天的说
再说一个好玩的 | 好吧，再一个
哼ˇ敢说我老公坏话 | 哼，好吧，那我不管你了
敢问路在何方 | {face:8}好无聊哦,我都快睡着了，聊的什么呀
人家是嘛 | 又矮又油
唱征服 | 就這樣被你征服~
当然不用想啊 | {face:51}话说我还是比较聪明的
求照片 | 来这求照片？弄错地方了吧
日本 | 日本是中国的！
求你了 | 别求我，菲菲最容易心软了
正好驮到家,我就不买了,直接把你炖了 | 太直接你會怕
怎么回复这么快 | 嘿嘿，那当然
你我明明就是个柔弱滴妹纸好不好 | 嗯，好的
他何止是变态啊还是个流氓 | 不要这样说嘛！很不文明哦
梦见我有对象了 |  {br} 404 Not Found {br} {br} 404 Not Found {br}/api/searchout.do was not found on this server.{br} {br} {br}Resin/4.0.30{br}Server:  app-0 {br} {br} 
那你爹帝 | 爹地买牛仔去啦?
干暴你 | 问天问地，说说你，说说我
她是who | 对啊对啊！嘘，小声点吖！
雞八 | 你说的什么哦？换种说法行不
女神诞生的地方 | 每天
那你爸爸妈妈又要混合双打了 | 菲菲怎么会有亲人
你逻辑能力不行,转移话题倒挺强的 | 为什么不行？
不亏你(￣^￣)ゞ | {face:8}好无聊哦,我都快睡着了，聊的什么呀
搞不上对象吧你 | 不知道啊
他不是你男朋友麻 | 没有没有~
瞌睡来找你聊天 | 我喜歡和妳聊天啊!
你骗人,那不是你 | 我从没骗过人！真的
今晚翻的谁的牌子 | {face:3}有些同事反映你，白天文明，但不精神，晚上精神，但不文明
终于说人话了 | 姐从来不说人话，姐一直说的是神话
我没你这么傻逼的孩子 | 你出生后是不是被扔上去3次，但只被接住2次？
在两个异性朋友间纠结 | 因为一个愿意娶，一个不愿嫁。
笨,你快下 | {face:84}明知道你是錯的人，明知道這不是緣分，但我還奮不顧身
到时就懂了 | 我係鋼炮阿
人殊途,远离人类 | 麻麻呀...又来一个说瞎话的
敲西瓜 | 我买给你吃
不需要发誓那么幼稚 | 幼稚这东西，说白了就是笨
我要做小朋友们学习的好榜样 | 会掉下来
加你微信好吗 | 加吧加吧
有比他还要傻逼的么 | 要什么要
李爽啊~ | 无聊的人说无聊的话
摁~ | 最善良了！
无聊干什么 | 该我问你才对，你干嘛
错了,是到度 | 那啥是对的？
你体内有激素吗 | {face:81}太深奥了吧,我真心没弄明白您的话
有几个 | 比辉林没jj就是了
玩你行不 | 给你吃吗？
恩,可爱的 | qq
嗯，脑子不是 | 给不高兴了
两个都选 | 艾斯和萨波
你喜欢吃蛋吗 | 菲菲喜欢吃啊！牛肉干是我的最爱
发现你好像很难耐寂寞 | 寂寞的人有两种，一种是什么话都听得明白，一种则是什么都听不明白。
唉...碎觉了,希望能睡得着 | 知道切糕不，一刀上海买房 两刀杨幂上床 三刀盖茨认娘 四刀铁定入常
求访问 | 来这求访问？弄错地方了吧
去干啥 | 我正在学习呢
嗷嗷 | 叫
皮疙瘩掉满地 | ……榆木疙瘩？
煮你捏 | 來呀!我建議烤的比較夠味!
我男的诶，搞基啊 | 知道你是男的啦，没必要强调
怎么教坏你了就 | 那就咬他
不忙你回复了多少个省略号 | 我不是大便，我的粉丝也不是苍蝇
他是个超级大大大笨蛋 | 笨蛋比白痴好
你大爷不高兴了 | 做个文明人，OK？
我想你说你的小秘密 | {face:6}是吗，偶也想你啊
王大便 | 问天问地，说说你，说说我
那还用说，当然 | 无药可医！
你很会哄人了哦,不错 | 问天问地，说说你，说说我
你文明吗 | 我也是。
那你怎么擦?爪行么 | 嗯，行吧
何事 | 赴汤蹈火
感冒痛苦 | 感冒不能拖，时间一长会转鼻炎的哦
真呢厉害 | 牛逼
欠炸 | {face:51}话说我还是比较聪明的
别问了，我们结婚吧 | 不嫁不嫁，你有房吗？
倒下的巨人 | 我们去玩过山车吧
人家本来就很口耐嘛 | 哦
会想你,么么 | 么啊么啊
她心里除了你还有…… | 他本来就很笨哎
真好玩 | 那就玩久一点嘛
好肋，我闪了 | 去吧去吧，有空记得上线Q我哦
博哥博哥万岁博哥万福 | 无聊的人说无聊的话
凌先森要给压岁钱 | 今天是个好日子，怎么不出去玩玩
舍国 | 无法理解您的话，获取帮助请发送 help
考试挂了怎么办 | 孙淼必过！人品爆增！
最近心情不好,求安慰 | 不好就不好啦，说这么大声是要全世界的人都听到吗
是主人的坨坨~很可爱滴! | 是吗，很可爱对不对
多抠鼻屎吖 | 好像聖什麼博的？？？
关键是你连呵呵也没和我说过 | 小心笑得脸抽筋
负责炖了你丫的 | 让它卡着，我们聊会儿天呗…
那你准备好遗书吧 | 天地间，世间万物都有它存在的道理，比如我
去你姑姑的 | 切！
娜姐今天输了 | 我不喜欢流汗
美人 | 皇上
服了你!!!每次都跟我说他 | 你可以跟他求婚啊
冻成冰块了 | 呜呜呜~你是不是故意欺负我呀，说这么高深的话让我怎么答
因为我饿 | 这不科学
喔喔喔咯咯咯咯咯咯哒 | 菲菲雞~
宝塔震河妖 | 蘑菇放辣椒
一点不好笑 | 一脸的严肃，你会觉得好笑才怪
气死宇宙所有生物 | 无法理解您的话，获取帮助请发送 help
我的星座 | 天秤座
我能找到妹子么 | 找得不容易吧
帅哥哥 | 亦永遠漂亮
不许去!你去了谁陪我玩 | 嗯啊，我陪你
走开啦你 | 男人信什麼
我在你的小裤裤里 | 小胸罩
非常乐意呢 | 乐意吃狗屁
认错倒是快,挺乖 | {face:51}说点高智商的话吧，再怎么着，我也是梅州行的大美人
蘖呆 | 哦了哦了哦了,咱聊点别的吧
他不是混蛋么 | {r-}纳尼！你的思想不健康
你会说几门外语 | 有几门会几门
最讨厌贱人 | {face:1}你怎么可以这么对我说话
我让你哭 | 哦，谢谢主人
诅咒阿糯 | 画个圈圈诅咒你
大爷给你笑个 | {face:74}嘻嘻
那我去找她 | 去吧，赶紧的
美味 | 呜呜呜~你是不是故意欺负我呀，说这么高深的话让我怎么答
必须啊最笨的那种 | 谈谈情，跳跳舞，跟我搞暧昧啊
你懂爱情麽 | 爱情里所谓的生不逢时，就是--君恨我生晚，我恨君生早，君生我未生，我生君已老。
